path	verdict	pages	first_page	of	ink	dominant	gdelta	only_ours	only_ref	blank_ref	counts
words/batch-012/doc/手机免提系统TSB.doc	words	2/2	1	2	0.94	glyphs	41	70	80	8	face=2,glyphs=5
words/batch-012/docx/19-06 Assistive Technology TAB Final - 508.docx	match	8/8	1	8	1.05	glyphs	4	45	63	8	glyphs=14
words/batch-012/docx/Company-profile-2022-EN.docx	match	5/5		5	0.00		0	0	0	0	
words/batch-012/docx/Leadership Information Article.docx	match	3/3		3	0.00		0	0	0	0	
words/batch-012/docx/monthly-content-feeder.docx	match	18/18	1	18	0.37	glyphs	80	40	19	5	glyphs=29
words/batch-012/docx/slcc-architecture-uu-architecture.docx	match	4/4		4	0.00		0	0	0	0	
words/batch-012/docx/technical-architecture.docx	match	8/8		8	0.00		0	0	0	0	
words/batch-013/docx/20110608_psp.docx	match	3/3	1	3	0.36	one-sided	0	52	72	27	
words/batch-013/docx/A1. EASA Form 2.docx	pages,words	9/7	1	7	1.70	glyphs	132	53	29	8	box=4,glyphs=30
words/batch-013/docx/AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.docx	words	2/2	1	2	0.89	glyphs	32	175	60	7	box=1,width=1,glyphs=15
words/batch-013/docx/FO.FCTOA_.000129 Application for activities related to FSTD.docx	match	6/6	1	6	2.19	glyphs	122	46	31	7	box=6,face=3,glyphs=17
words/batch-013/docx/Sol PJ14-03-04 Solution Contextual.docx	match	5/5	1	5	1.47	glyphs	92	57	72	25	box=4,glyphs=22,colour=4
words/batch-013/docx/b050-19.docx	match	3/3		3	0.00		0	0	0	0	
words/batch-013/docx/bulletin.docx	match	14/14	5	14	0.49	glyphs	80	85	13	10	glyphs=25
words/batch-013/docx/easa-regulations-update-20.docx	match	22/22	3	22	0.52	box	1	34	63	2	box=2,glyphs=1,colour=1
words/batch-013/docx/template---tpr-technical-progress-report-with-guidance.docx	pages	7/8	2	7	0.97	glyphs	24	36	26	7	box=3,glyphs=8
words/batch-014/doc/1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759.doc	pages	13/12	1	12	0.49	glyphs	3	18	37	12	glyphs=1
words/batch-014/doc/1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080.doc	pages	10/9	1	9	0.77	glyphs	35	7	38	10	glyphs=1
words/batch-014/doc/Reid.doc	match	4/4	1	4	0.85	size	58	45	80	20	size=2,width=2,face=1,glyphs=2
words/batch-014/doc/omrIMInterpretiveGuideLine.doc	words	2/2	1	2	3.76	glyphs	57	4	37	5	size=1,width=1,face=1,glyphs=8
words/batch-014/docx/FO.FCTOA.00010 Application for a Part-ORA ATO Approval.docx	pages	15/16	1	15	1.63	glyphs	145	107	26	6	size=1,box=2,width=1,face=1,glyphs=20
