# Shortcodes for the emoji and symbol AutoCorrect replacements.
#
# Typing a shortcode between colons - :rocket: - replaces it with the character
# as soon as the closing colon is typed.  The names are the international
# GitHub/Slack shortcodes, so they are the same in every language and this file
# is deliberately NOT translated.  See README.md before editing.
#
# codepoints <TAB> character <TAB> shortcodes, first one canonical <TAB> Unicode name
000A2	¢	cent	CENT SIGN
1F324	🌤	cloudy	WHITE SUN WITH SMALL CLOUD
1F325	🌥	cloudy2	WHITE SUN BEHIND CLOUD
1F326	🌦	rainy	WHITE SUN BEHIND CLOUD WITH RAIN
1F327	🌧	cloud_with_rain, storm	CLOUD WITH RAIN
1F328	🌨	snow	CLOUD WITH SNOW
1F329	🌩	lightning	CLOUD WITH LIGHTNING
1F32A	🌪	tornado	CLOUD WITH TORNADO
1F32B	🌫	fog	FOG
1F32C	🌬	wind	WIND BLOWING FACE
1F32D	🌭	hot dog	HOT DOG
1F32E	🌮	taco	TACO
1F32F	🌯	burrito	BURRITO
1F330	🌰	chestnut	CHESTNUT
1F331	🌱	seedling	SEEDLING
1F332	🌲	evergreen_tree, pine	EVERGREEN TREE
1F333	🌳	deciduous_tree, tree	DECIDUOUS TREE
1F334	🌴	palm_tree, palm	PALM TREE
1F335	🌵	cactus	CACTUS
1F336	🌶	hot_pepper, pepper	HOT PEPPER
1F337	🌷	tulip	TULIP
1F338	🌸	cherry_blossom, blossom2	CHERRY BLOSSOM
1F339	🌹	rose	ROSE
1F33A	🌺	hibiscus	HIBISCUS
1F33B	🌻	sunflower	SUNFLOWER
1F33C	🌼	blossom	BLOSSOM
1F33D	🌽	corn	EAR OF MAIZE
1F33E	🌾	ear_of_rice, grass	EAR OF RICE
1F33F	🌿	herb	HERB
1F340	🍀	four_leaf_clover, clover	FOUR LEAF CLOVER
1F341	🍁	maple_leaf, leaf	MAPLE LEAF
1F342	🍂	fallen_leaf, leaf2	FALLEN LEAF
1F343	🍃	leaves, leaf3	LEAF FLUTTERING IN WIND
1F344	🍄	mushroom	MUSHROOM
1F345	🍅	tomato	TOMATO
1F346	🍆	eggplant	AUBERGINE
1F347	🍇	grapes	GRAPES
1F348	🍈	melon	MELON
1F349	🍉	watermelon	WATERMELON
1F34A	🍊	orange, mandarin, tangerine	TANGERINE
1F34B	🍋	lemon	LEMON
1F34C	🍌	banana	BANANA
1F34D	🍍	pineapple	PINEAPPLE
1F34E	🍎	apple	RED APPLE
1F34F	🍏	green_apple, green apple	GREEN APPLE
1F350	🍐	pear	PEAR
1F351	🍑	peach	PEACH
1F352	🍒	cherries, cherry	CHERRIES
1F353	🍓	strawberry	STRAWBERRY
1F354	🍔	hamburger	HAMBURGER
1F355	🍕	pizza	SLICE OF PIZZA
1F356	🍖	meat_on_bone, meat	MEAT ON BONE
1F357	🍗	poultry_leg, poultry leg	POULTRY LEG
1F358	🍘	rice cracker, rice_cracker	RICE CRACKER
1F359	🍙	rice ball, rice_ball	RICE BALL
1F35A	🍚	rice	COOKED RICE
1F35B	🍛	curry	CURRY AND RICE
1F35C	🍜	ramen	STEAMING BOWL
1F35D	🍝	spaghetti	SPAGHETTI
1F35E	🍞	bread	BREAD
1F35F	🍟	fries	FRENCH FRIES
1F360	🍠	sweet potato, sweet_potato	ROASTED SWEET POTATO
1F361	🍡	dango	DANGO
1F362	🍢	oden	ODEN
1F363	🍣	sushi	SUSHI
1F364	🍤	fried_shrimp, fried shrimp	FRIED SHRIMP
1F365	🍥	fish cake, fish_cake	FISH CAKE WITH SWIRL DESIGN
1F366	🍦	icecream	SOFT ICE CREAM
1F367	🍧	shaved_ice, shaved ice	SHAVED ICE
1F368	🍨	ice_cream, ice cream	ICE CREAM
1F369	🍩	doughnut	DOUGHNUT
1F36A	🍪	cookie	COOKIE
1F36B	🍫	chocolate_bar, chocolate	CHOCOLATE BAR
1F36C	🍬	candy	CANDY
1F36D	🍭	lollipop	LOLLIPOP
1F36E	🍮	custard	CUSTARD
1F36F	🍯	honey_pot, honey	HONEY POT
1F370	🍰	cake	SHORTCAKE
1F371	🍱	bento	BENTO BOX
1F372	🍲	stew	POT OF FOOD
1F373	🍳	fried_egg, cooking	COOKING
1F374	🍴	fork_and_knife, restaurant	FORK AND KNIFE
1F375	🍵	tea	TEACUP WITHOUT HANDLE
1F376	🍶	sake	SAKE BOTTLE AND CUP
1F377	🍷	wine_glass, glass	WINE GLASS
1F378	🍸	cocktail	COCKTAIL GLASS
1F379	🍹	tropical_drink, drink2	TROPICAL DRINK
1F37A	🍺	beer	BEER MUG
1F37B	🍻	beers, beer2	CLINKING BEER MUGS
1F37C	🍼	baby_bottle, baby bottle	BABY BOTTLE
1F37D	🍽	plate_with_cutlery, plate	FORK AND KNIFE WITH PLATE
1F37E	🍾	champagne, party4	BOTTLE WITH POPPING CORK
1F37F	🍿	popcorn	POPCORN
1F380	🎀	ribbon, ribbon2	RIBBON
1F381	🎁	gift	WRAPPED PRESENT
1F382	🎂	birthday	BIRTHDAY CAKE
1F383	🎃	halloween	JACK-O-LANTERN
1F384	🎄	christmas	CHRISTMAS TREE
1F385	🎅	santa	FATHER CHRISTMAS
1F386	🎆	fireworks	FIREWORKS
1F387	🎇	sparkler	FIREWORK SPARKLER
1F388	🎈	balloon	BALLOON
1F389	🎉	tada, party	PARTY POPPER
1F38A	🎊	confetti_ball, party2	CONFETTI BALL
1F38B	🎋	tanabata tree, tanabata_tree	TANABATA TREE
1F38C	🎌	flags	CROSSED FLAGS
1F38D	🎍	bamboo	PINE DECORATION
1F38E	🎎	dolls	JAPANESE DOLLS
1F38F	🎏	flags2	CARP STREAMER
1F390	🎐	wind chime, wind_chime	WIND CHIME
1F391	🎑	rice scene, rice_scene	MOON VIEWING CEREMONY
1F392	🎒	school satchel, school_satchel	SCHOOL SATCHEL
1F393	🎓	mortar_board, graduation	GRADUATION CAP
1F396	🎖	medal2	MILITARY MEDAL
1F397	🎗	reminder_ribbon	REMINDER RIBBON
1F399	🎙	studio_microphone, microphone2	STUDIO MICROPHONE
1F39A	🎚	slider	LEVEL SLIDER
1F39B	🎛	control	CONTROL KNOBS
1F39E	🎞	film	FILM FRAMES
1F39F	🎟	ticket2	ADMISSION TICKETS
1F3A0	🎠	fair2	CAROUSEL HORSE
1F3A1	🎡	fair	FERRIS WHEEL
1F3A2	🎢	roller coaster, roller_coaster	ROLLER COASTER
1F3A3	🎣	fishing	FISHING POLE AND FISH
1F3A4	🎤	microphone	MICROPHONE
1F3A5	🎥	movie_camera, movie camera	MOVIE CAMERA
1F3A6	🎦	cinema	CINEMA
1F3A7	🎧	headphones, headphone	HEADPHONE
1F3A8	🎨	art	ARTIST PALETTE
1F3A9	🎩	tophat, top hat	TOP HAT
1F3AA	🎪	circus	CIRCUS TENT
1F3AB	🎫	ticket	TICKET
1F3AC	🎬	clapper	CLAPPER BOARD
1F3AD	🎭	performing_arts, theatre	PERFORMING ARTS
1F3AE	🎮	video_game, video game	VIDEO GAME
1F3AF	🎯	dart, hit	DIRECT HIT
1F3B0	🎰	slot machine, slot_machine	SLOT MACHINE
1F3B1	🎱	billiards	BILLIARDS
1F3B2	🎲	dice	GAME DIE
1F3B3	🎳	bowling	BOWLING
1F3B4	🎴	cards	FLOWER PLAYING CARDS
1F3B5	🎵	musical_note, music2	MUSICAL NOTE
1F3B6	🎶	notes, music	MULTIPLE MUSICAL NOTES
1F3B7	🎷	saxophone	SAXOPHONE
1F3B8	🎸	guitar	GUITAR
1F3B9	🎹	musical_keyboard, piano	MUSICAL KEYBOARD
1F3BA	🎺	trumpet	TRUMPET
1F3BB	🎻	violin	VIOLIN
1F3BC	🎼	musical_score, score	MUSICAL SCORE
1F3BD	🎽	shirt2	RUNNING SHIRT WITH SASH
1F3BE	🎾	tennis	TENNIS RACQUET AND BALL
1F3BF	🎿	ski	SKI AND SKI BOOT
1F3C0	🏀	basketball	BASKETBALL AND HOOP
1F3C1	🏁	checkered_flag, race	CHEQUERED FLAG
1F3C2	🏂	snowboarder	SNOWBOARDER
1F3C3	🏃	running, runner	RUNNER
1F3C4	🏄	surfer	SURFER
1F3C5	🏅	medal	SPORTS MEDAL
1F3C6	🏆	trophy	TROPHY
1F3C7	🏇	horse3	HORSE RACING
1F3C8	🏈	football	AMERICAN FOOTBALL
1F3C9	🏉	rugby football, rugby_football	RUGBY FOOTBALL
1F3CA	🏊	swimmer	SWIMMER
1F3CB	🏋	weight_lifting, weight lifter	WEIGHT LIFTER
1F3CC	🏌	golf	GOLFER
1F3CD	🏍	motorcycle	RACING MOTORCYCLE
1F3CE	🏎	car4	RACING CAR
1F3CF	🏏	cricket	CRICKET BAT AND BALL
1F3D0	🏐	volleyball	VOLLEYBALL
1F3D1	🏑	hockey2	FIELD HOCKEY STICK AND BALL
1F3D2	🏒	hockey	ICE HOCKEY STICK AND PUCK
1F3D3	🏓	ping pong, ping_pong	TABLE TENNIS PADDLE AND BALL
1F3D4	🏔	mountain2	SNOW CAPPED MOUNTAIN
1F3D5	🏕	camping	CAMPING
1F3D6	🏖	beach_umbrella, beach	BEACH WITH UMBRELLA
1F3D7	🏗	crane	BUILDING CONSTRUCTION
1F3D8	🏘	houses	HOUSE BUILDINGS
1F3D9	🏙	city	CITYSCAPE
1F3DA	🏚	house3	DERELICT HOUSE BUILDING
1F3DB	🏛	museum	CLASSICAL BUILDING
1F3DC	🏜	desert	DESERT
1F3DD	🏝	desert_island, island	DESERT ISLAND
1F3DE	🏞	park	NATIONAL PARK
1F3DF	🏟	stadium	STADIUM
1F3E0	🏠	house	HOUSE BUILDING
1F3E1	🏡	house_with_garden, house2	HOUSE WITH GARDEN
1F3E2	🏢	office	OFFICE BUILDING
1F3E3	🏣	post office2	JAPANESE POST OFFICE
1F3E4	🏤	post office	EUROPEAN POST OFFICE
1F3E5	🏥	hospital	HOSPITAL
1F3E6	🏦	bank	BANK
1F3E7	🏧	atm	AUTOMATED TELLER MACHINE
1F3E8	🏨	hotel	HOTEL
1F3E9	🏩	hotel2	LOVE HOTEL
1F3EA	🏪	store	CONVENIENCE STORE
1F3EB	🏫	school	SCHOOL
1F3EC	🏬	store2	DEPARTMENT STORE
1F3ED	🏭	factory	FACTORY
1F3EE	🏮	lantern	IZAKAYA LANTERN
1F3EF	🏯	castle2	JAPANESE CASTLE
1F3F0	🏰	castle	EUROPEAN CASTLE
1F3F3	🏳	white_flag, flag2	WAVING WHITE FLAG
1F3F4	🏴	flag	WAVING BLACK FLAG
1F3F5	🏵	rosette	ROSETTE
1F3F7	🏷	label	LABEL
1F3F8	🏸	badminton	BADMINTON RACQUET AND SHUTTLECOCK
1F3FA	🏺	amphora	AMPHORA
1F400	🐀	rat	RAT
1F401	🐁	mouse	MOUSE
1F402	🐂	ox	OX
1F403	🐃	water buffalo, water_buffalo	WATER BUFFALO
1F404	🐄	cow	COW
1F406	🐆	leopard	LEOPARD
1F408	🐈	cat2	CAT
1F409	🐉	dragon	DRAGON
1F40A	🐊	crocodile	CROCODILE
1F40B	🐋	whale2	WHALE
1F40C	🐌	snail	SNAIL
1F40D	🐍	snake	SNAKE
1F40E	🐎	racehorse	HORSE
1F40F	🐏	ram	RAM
1F410	🐐	goat	GOAT
1F411	🐑	sheep	SHEEP
1F412	🐒	monkey	MONKEY
1F413	🐓	rooster	ROOSTER
1F414	🐔	chicken	CHICKEN
1F415	🐕	dog2	DOG
1F416	🐖	pig2	PIG
1F417	🐗	boar	BOAR
1F418	🐘	elephant	ELEPHANT
1F419	🐙	octopus	OCTOPUS
1F41A	🐚	shell	SPIRAL SHELL
1F41B	🐛	bug	BUG
1F41C	🐜	ant	ANT
1F41D	🐝	honeybee, bee	HONEYBEE
1F41E	🐞	lady_beetle, ladybug	LADY BEETLE
1F41F	🐟	fish	FISH
1F420	🐠	tropical_fish, fish2	TROPICAL FISH
1F421	🐡	fish3	BLOWFISH
1F422	🐢	turtle	TURTLE
1F423	🐣	hatching_chick, chick	HATCHING CHICK
1F424	🐤	chick2	BABY CHICK
1F425	🐥	hatched_chick, chick3	FRONT-FACING BABY CHICK
1F426	🐦	bird	BIRD
1F427	🐧	penguin	PENGUIN
1F428	🐨	koala	KOALA
1F429	🐩	poodle	POODLE
1F42A	🐪	camel	DROMEDARY CAMEL
1F42B	🐫	camel2	BACTRIAN CAMEL
1F42C	🐬	flipper, dolphin	DOLPHIN
1F42D	🐭	mouse2	MOUSE FACE
1F42E	🐮	cow2	COW FACE
1F42F	🐯	tiger, tiger2	TIGER FACE
1F430	🐰	rabbit, rabbit2	RABBIT FACE
1F431	🐱	cat	CAT FACE
1F432	🐲	dragon2	DRAGON FACE
1F433	🐳	whale	SPOUTING WHALE
1F434	🐴	horse, horse2	HORSE FACE
1F435	🐵	monkey2	MONKEY FACE
1F436	🐶	dog	DOG FACE
1F437	🐷	pig	PIG FACE
1F438	🐸	frog	FROG FACE
1F439	🐹	hamster	HAMSTER FACE
1F43A	🐺	wolf	WOLF FACE
1F43B	🐻	bear	BEAR FACE
1F43C	🐼	panda_face, panda	PANDA FACE
1F43D	🐽	pig_nose, pig nose	PIG NOSE
1F43E	🐾	paw_prints, feet	PAW PRINTS
1F43F	🐿	chipmunk	CHIPMUNK
1F440	👀	eyes	EYES
1F441	👁	eye	EYE
1F442	👂	ear	EAR
1F443	👃	nose	NOSE
1F444	👄	lips, mouth	MOUTH
1F445	👅	tongue	TONGUE
1F446	👆	point_up_2, up2	WHITE UP POINTING BACKHAND INDEX
1F447	👇	point_down, down2	WHITE DOWN POINTING BACKHAND INDEX
1F448	👈	point_left, left2	WHITE LEFT POINTING BACKHAND INDEX
1F449	👉	point_right, right2	WHITE RIGHT POINTING BACKHAND INDEX
1F44A	👊	fist_oncoming, facepunch, punch, fist2	FISTED HAND SIGN
1F44B	👋	wave	WAVING HAND SIGN
1F44C	👌	ok_hand, ok	OK HAND SIGN
1F44D	👍	+1, thumbsup, yes	THUMBS UP SIGN
1F44E	👎	-1, thumbsdown, no	THUMBS DOWN SIGN
1F44F	👏	clap	CLAPPING HANDS SIGN
1F450	👐	open_hands, open hands	OPEN HANDS SIGN
1F451	👑	crown	CROWN
1F452	👒	hat	WOMANS HAT
1F453	👓	eyeglasses	EYEGLASSES
1F454	👔	necktie	NECKTIE
1F455	👕	shirt	T-SHIRT
1F456	👖	jeans	JEANS
1F457	👗	dress	DRESS
1F458	👘	kimono	KIMONO
1F459	👙	bikini	BIKINI
1F45A	👚	clothes	WOMANS CLOTHES
1F45B	👛	purse	PURSE
1F45C	👜	handbag	HANDBAG
1F45D	👝	pouch	POUCH
1F45E	👞	shoe	MANS SHOE
1F45F	👟	shoe2	ATHLETIC SHOE
1F460	👠	high_heel, shoe3	HIGH-HEELED SHOE
1F461	👡	sandal	WOMANS SANDAL
1F462	👢	boot	WOMANS BOOTS
1F463	👣	footprints	FOOTPRINTS
1F464	👤	bust_in_silhouette, bust	BUST IN SILHOUETTE
1F465	👥	busts_in_silhouette, busts	BUSTS IN SILHOUETTE
1F466	👦	boy	BOY
1F467	👧	girl	GIRL
1F468	👨	man	MAN
1F469	👩	woman	WOMAN
1F46A	👪	family	FAMILY
1F46B	👫	couple	MAN AND WOMAN HOLDING HANDS
1F46C	👬	couple2	TWO MEN HOLDING HANDS
1F46D	👭	two_women_holding_hands, couple3	TWO WOMEN HOLDING HANDS
1F46E	👮	police_officer, cop	POLICE OFFICER
1F46F	👯	dancers, bunny ears	WOMAN WITH BUNNY EARS
1F470	👰	bride	BRIDE WITH VEIL
1F471	👱	blond hair	PERSON WITH BLOND HAIR
1F472	👲	hat2	MAN WITH GUA PI MAO
1F473	👳	turban	MAN WITH TURBAN
1F474	👴	older_man, older man	OLDER MAN
1F475	👵	older_woman, older woman	OLDER WOMAN
1F476	👶	baby	BABY
1F477	👷	worker	CONSTRUCTION WORKER
1F478	👸	princess	PRINCESS
1F479	👹	japanese_ogre, ogre	JAPANESE OGRE
1F47A	👺	goblin	JAPANESE GOBLIN
1F47B	👻	ghost	GHOST
1F47C	👼	angel	BABY ANGEL
1F47D	👽	alien	EXTRATERRESTRIAL ALIEN
1F47E	👾	space_invader, alien2	ALIEN MONSTER
1F47F	👿	imp	IMP
1F480	💀	skull	SKULL
1F481	💁	tipping_hand_person, information_desk_person, information2	INFORMATION DESK PERSON
1F482	💂	guard	GUARDSMAN
1F483	💃	woman_dancing, dancer	DANCER
1F484	💄	lipstick	LIPSTICK
1F485	💅	nail_care, nail care	NAIL POLISH
1F486	💆	massage	FACE MASSAGE
1F487	💇	haircut	HAIRCUT
1F488	💈	barber	BARBER POLE
1F489	💉	syringe	SYRINGE
1F48A	💊	pill	PILL
1F48B	💋	kiss, kiss mark	KISS MARK
1F48C	💌	love_letter, love letter	LOVE LETTER
1F48D	💍	ring	RING
1F48E	💎	gem	GEM STONE
1F48F	💏	couplekiss	KISS
1F490	💐	bouquet	BOUQUET
1F491	💑	couple_with_heart, couple4	COUPLE WITH HEART
1F492	💒	wedding	WEDDING
1F493	💓	heartbeat	BEATING HEART
1F494	💔	broken_heart, broken heart	BROKEN HEART
1F495	💕	two_hearts, two hearts	TWO HEARTS
1F496	💖	sparkling_heart, sparkling heart	SPARKLING HEART
1F497	💗	heartpulse	GROWING HEART
1F498	💘	cupid, love	HEART WITH ARROW
1F499	💙	blue_heart	BLUE HEART
1F49A	💚	green_heart	GREEN HEART
1F49B	💛	yellow_heart	YELLOW HEART
1F49C	💜	purple_heart	PURPLE HEART
1F49D	💝	gift_heart, gift heart	HEART WITH RIBBON
1F49E	💞	revolving_hearts, revolving hearts	REVOLVING HEARTS
1F49F	💟	heart_decoration, heart decoration	HEART DECORATION
1F4A0	💠	diamond_shape_with_a_dot_inside, cuteness	DIAMOND SHAPE WITH A DOT INSIDE
1F4A1	💡	bulb	ELECTRIC LIGHT BULB
1F4A2	💢	anger	ANGER SYMBOL
1F4A3	💣	bomb	BOMB
1F4A4	💤	zzz	SLEEPING SYMBOL
1F4A5	💥	collision, boom	COLLISION SYMBOL
1F4A6	💦	sweat_drops, sweat drops	SPLASHING SWEAT SYMBOL
1F4A7	💧	droplet	DROPLET
1F4A8	💨	dash	DASH SYMBOL
1F4A9	💩	hankey, poop, shit, poo	PILE OF POO
1F4AA	💪	muscle	FLEXED BICEPS
1F4AB	💫	dizzy	DIZZY SYMBOL
1F4AC	💬	speech_balloon, speech balloon	SPEECH BALLOON
1F4AD	💭	thought_balloon, thought balloon	THOUGHT BALLOON
1F4AE	💮	white_flower, white flower	WHITE FLOWER
1F4AF	💯	100	HUNDRED POINTS SYMBOL
1F4B0	💰	moneybag, money2	MONEY BAG
1F4B1	💱	exchange	CURRENCY EXCHANGE
1F4B2	💲	heavy dollar sign, heavy_dollar_sign	HEAVY DOLLAR SIGN
1F4B3	💳	credit card, credit_card	CREDIT CARD
1F4B4	💴	yen2	BANKNOTE WITH YEN SIGN
1F4B5	💵	dollar, dollar2	BANKNOTE WITH DOLLAR SIGN
1F4B6	💶	euro2	BANKNOTE WITH EURO SIGN
1F4B7	💷	pound2	BANKNOTE WITH POUND SIGN
1F4B8	💸	money_with_wings, money	MONEY WITH WINGS
1F4B9	💹	chart4	CHART WITH UPWARDS TREND AND YEN SIGN
1F4BA	💺	seat	SEAT
1F4BB	💻	computer	PERSONAL COMPUTER
1F4BC	💼	briefcase	BRIEFCASE
1F4BD	💽	md	MINIDISC
1F4BE	💾	floppy	FLOPPY DISK
1F4BF	💿	cd	OPTICAL DISC
1F4C0	📀	dvd	DVD
1F4C1	📁	folder	FILE FOLDER
1F4C2	📂	folder2	OPEN FILE FOLDER
1F4C3	📃	page3	PAGE WITH CURL
1F4C4	📄	page	PAGE FACING UP
1F4C5	📅	calendar	CALENDAR
1F4C6	📆	calendar2	TEAR-OFF CALENDAR
1F4C7	📇	card index, card_index	CARD INDEX
1F4C8	📈	chart	CHART WITH UPWARDS TREND
1F4C9	📉	chart2	CHART WITH DOWNWARDS TREND
1F4CA	📊	chart3	BAR CHART
1F4CB	📋	clipboard	CLIPBOARD
1F4CC	📌	pushpin	PUSHPIN
1F4CD	📍	round_pushpin, round pushpin	ROUND PUSHPIN
1F4CE	📎	paperclip	PAPERCLIP
1F4CF	📏	ruler	STRAIGHT RULER
1F4D0	📐	ruler2	TRIANGULAR RULER
1F4D1	📑	bookmark	BOOKMARK TABS
1F4D2	📒	ledger	LEDGER
1F4D3	📓	notebook	NOTEBOOK
1F4D4	📔	notebook2	NOTEBOOK WITH DECORATIVE COVER
1F4D5	📕	book2	CLOSED BOOK
1F4D6	📖	book, open_book, book3	OPEN BOOK
1F4D7	📗	green_book	GREEN BOOK
1F4D8	📘	blue_book	BLUE BOOK
1F4D9	📙	orange_book	ORANGE BOOK
1F4DA	📚	books	BOOKS
1F4DB	📛	name	NAME BADGE
1F4DC	📜	scroll	SCROLL
1F4DD	📝	pencil, memo	MEMO
1F4DE	📞	telephone_receiver, receiver	TELEPHONE RECEIVER
1F4DF	📟	pager	PAGER
1F4E0	📠	fax	FAX MACHINE
1F4E1	📡	antenna	SATELLITE ANTENNA
1F4E2	📢	loudspeaker	PUBLIC ADDRESS LOUDSPEAKER
1F4E3	📣	mega	CHEERING MEGAPHONE
1F4E4	📤	tray	OUTBOX TRAY
1F4E5	📥	tray2	INBOX TRAY
1F4E6	📦	package	PACKAGE
1F4E7	📧	e-mail	E-MAIL SYMBOL
1F4E8	📨	envelope7	INCOMING ENVELOPE
1F4E9	📩	envelope_with_arrow, envelope8	ENVELOPE WITH DOWNWARDS ARROW ABOVE
1F4EA	📪	mailbox	CLOSED MAILBOX WITH LOWERED FLAG
1F4EB	📫	mailbox2	CLOSED MAILBOX WITH RAISED FLAG
1F4EC	📬	mailbox3	OPEN MAILBOX WITH RAISED FLAG
1F4ED	📭	mailbox4	OPEN MAILBOX WITH LOWERED FLAG
1F4EE	📮	postbox	POSTBOX
1F4EF	📯	horn	POSTAL HORN
1F4F0	📰	newspaper	NEWSPAPER
1F4F1	📱	iphone, mobile	MOBILE PHONE
1F4F2	📲	calling	MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT
1F4F3	📳	vibration mode, vibration_mode	VIBRATION MODE
1F4F4	📴	mobile phone off, mobile_phone_off	MOBILE PHONE OFF
1F4F5	📵	no mobile	NO MOBILE PHONES
1F4F6	📶	signal strength, signal_strength	ANTENNA WITH BARS
1F4F7	📷	camera	CAMERA
1F4F8	📸	camera_flash, flash	CAMERA WITH FLASH
1F4F9	📹	video camera, video_camera	VIDEO CAMERA
1F4FA	📺	tv	TELEVISION
1F4FB	📻	radio	RADIO
1F4FC	📼	vhs	VIDEOCASSETTE
1F4FD	📽	projector	FILM PROJECTOR
1F4FF	📿	beads	PRAYER BEADS
1F500	🔀	twisted_rightwards_arrows	TWISTED RIGHTWARDS ARROWS
1F501	🔁	repeat	CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS
1F502	🔂	repeat_one	CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS WITH CIRCLED ONE OVERLAY
1F503	🔃	arrows_clockwise	CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS
1F504	🔄	arrows_counterclockwise	ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS
1F505	🔅	brightness	LOW BRIGHTNESS SYMBOL
1F506	🔆	high_brightness, brightness2	HIGH BRIGHTNESS SYMBOL
1F507	🔇	mute	SPEAKER WITH CANCELLATION STROKE
1F508	🔈	speaker	SPEAKER
1F509	🔉	sound	SPEAKER WITH ONE SOUND WAVE
1F50A	🔊	loud_sound, loud sound	SPEAKER WITH THREE SOUND WAVES
1F50B	🔋	battery	BATTERY
1F50C	🔌	plug	ELECTRIC PLUG
1F50D	🔍	mag	LEFT-POINTING MAGNIFYING GLASS
1F50E	🔎	mag2	RIGHT-POINTING MAGNIFYING GLASS
1F50F	🔏	lock2	LOCK WITH INK PEN
1F510	🔐	lock3	CLOSED LOCK WITH KEY
1F511	🔑	key	KEY
1F512	🔒	lock	LOCK
1F513	🔓	unlock	OPEN LOCK
1F514	🔔	bell	BELL
1F515	🔕	no bell, no_bell	BELL WITH CANCELLATION STROKE
1F516	🔖	bookmark2	BOOKMARK
1F517	🔗	link	LINK SYMBOL
1F518	🔘	radio button, radio_button	RADIO BUTTON
1F519	🔙	back	BACK WITH LEFTWARDS ARROW ABOVE
1F51A	🔚	end	END WITH LEFTWARDS ARROW ABOVE
1F51B	🔛	on	ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE
1F51C	🔜	soon	SOON WITH RIGHTWARDS ARROW ABOVE
1F51D	🔝	top	TOP WITH UPWARDS ARROW ABOVE
1F51E	🔞	underage	NO ONE UNDER EIGHTEEN SYMBOL
1F51F	🔟	keycap_ten	KEYCAP TEN
1F520	🔠	capital_abcd	INPUT SYMBOL FOR LATIN CAPITAL LETTERS
1F521	🔡	abcd	INPUT SYMBOL FOR LATIN SMALL LETTERS
1F522	🔢	1234	INPUT SYMBOL FOR NUMBERS
1F523	🔣	symbols	INPUT SYMBOL FOR SYMBOLS
1F524	🔤	abc	INPUT SYMBOL FOR LATIN LETTERS
1F525	🔥	fire	FIRE
1F526	🔦	flashlight	ELECTRIC TORCH
1F527	🔧	wrench	WRENCH
1F528	🔨	hammer	HAMMER
1F529	🔩	nut and bolt, nut_and_bolt	NUT AND BOLT
1F52A	🔪	hocho, knife	HOCHO
1F52B	🔫	gun, pistol	PISTOL
1F52C	🔬	microscope	MICROSCOPE
1F52D	🔭	telescope	TELESCOPE
1F52E	🔮	crystal_ball, crystal ball	CRYSTAL BALL
1F52F	🔯	six_pointed_star	SIX POINTED STAR WITH MIDDLE DOT
1F530	🔰	beginner	JAPANESE SYMBOL FOR BEGINNER
1F531	🔱	trident	TRIDENT EMBLEM
1F532	🔲	button2	BLACK SQUARE BUTTON
1F533	🔳	button	WHITE SQUARE BUTTON
1F534	🔴	red_circle	LARGE RED CIRCLE
1F535	🔵	large_blue_circle	LARGE BLUE CIRCLE
1F536	🔶	large_orange_diamond	LARGE ORANGE DIAMOND
1F537	🔷	large_blue_diamond	LARGE BLUE DIAMOND
1F538	🔸	small_orange_diamond	SMALL ORANGE DIAMOND
1F539	🔹	small_blue_diamond	SMALL BLUE DIAMOND
1F53A	🔺	small_red_triangle	UP-POINTING RED TRIANGLE
1F53B	🔻	small_red_triangle_down	DOWN-POINTING RED TRIANGLE
1F53C	🔼	arrow_up_small	UP-POINTING SMALL RED TRIANGLE
1F53D	🔽	arrow_down_small	DOWN-POINTING SMALL RED TRIANGLE
1F549	🕉	om	OM SYMBOL
1F54A	🕊	dove	DOVE OF PEACE
1F54B	🕋	Kaaba	KAABA
1F54C	🕌	mosque	MOSQUE
1F54D	🕍	synagogue	SYNAGOGUE
1F54E	🕎	menorah	MENORAH WITH NINE BRANCHES
1F550	🕐	1 h	CLOCK FACE ONE OCLOCK
1F551	🕑	2 h	CLOCK FACE TWO OCLOCK
1F552	🕒	3 h	CLOCK FACE THREE OCLOCK
1F553	🕓	4 h	CLOCK FACE FOUR OCLOCK
1F554	🕔	5 h	CLOCK FACE FIVE OCLOCK
1F555	🕕	6 h	CLOCK FACE SIX OCLOCK
1F556	🕖	7 h	CLOCK FACE SEVEN OCLOCK
1F557	🕗	8 h	CLOCK FACE EIGHT OCLOCK
1F558	🕘	9 h	CLOCK FACE NINE OCLOCK
1F559	🕙	10 h	CLOCK FACE TEN OCLOCK
1F55A	🕚	11 h	CLOCK FACE ELEVEN OCLOCK
1F55B	🕛	12 h	CLOCK FACE TWELVE OCLOCK
1F55C	🕜	1.30	CLOCK FACE ONE-THIRTY
1F55D	🕝	2.30	CLOCK FACE TWO-THIRTY
1F55E	🕞	3.30	CLOCK FACE THREE-THIRTY
